============================================================
        TABLA DE SIMBOLOS - ANALIZADOR LEXICO PF2025
============================================================
No     LEXEMA                    TOKEN           REF   
------------------------------------------------------------
1      pf2025                    PROG            100   
2      EjemploCalculadora        id              600   
3      decl                      DECL            101   
4      Ent                       ENT             108   
5      a                         id              601   
6      ,                         COMA            501   
7      b                         id              602   
8      resultado                 id              603   
9      ;                         PC              500   
10     cad                       CAD             109   
11     Bool                      BOOL            110   
12     esValido                  id              604   
13     terminado                 id              605   
14     inicio                    INICIO          102   
15     impcad                    IMPCAD          114   
16     (                         PAREN           502   
17     "Ingrese el primer numero" CAD_LIT         800   
18     )                         TESIS           503   
19     leerdig                   LEERDIG         111   
20     "Ingrese el segundo numero" CAD_LIT         801   
21     :=                        ASIG            504   
22     +                         MAS             505   
23     "El resultado de la suma es:" CAD_LIT         802   
24     impdig                    IMPDIG          113   
25     *                         MUL             507   
26     "El resultado de la multiplicacion es:" CAD_LIT         803   
27     -                         MENOS           506   
28     "El resultado de la resta es:" CAD_LIT         804   
29     /                         DIV             508   
30     "El resultado de la division es:" CAD_LIT         805   
31     verdadero                 VERDADERO       116   
32     falso                     FALSO           117   
33     si                        SI              104   
34     ==                        EQU             513   
35     entonces                  ENTONCES        105   
36     "Los numeros son iguales" CAD_LIT         806   
37     sino                      SINO            106   
38     "Los numeros son diferentes" CAD_LIT         807   
39     finsi                     FINSI           107   
40     !=                        DIF             514   
41     >                         MAYOR           509   
42     "El primer numero es mayor" CAD_LIT         808   
43     <                         MENOR           510   
44     "El segundo numero es mayor" CAD_LIT         809   
45     >=                        MAYIG           511   
46     "El primer numero es mayor o igual" CAD_LIT         810   
47     <=                        MENIG           512   
48     "El segundo numero es mayor o igual" CAD_LIT         811   
49     y                         Y               118   
50     0                         CENT            700   
51     "a es mayor y b es positivo" CAD_LIT         812   
52     o                         O               119   
53     "a es igual a b o b es cero" CAD_LIT         813   
54     no                        NO              120   
55     "esValido es falso"       CAD_LIT         814   
56     "El programa continua"    CAD_LIT         815   
57     "Ingrese su nombre:"      CAD_LIT         816   
58     leercad                   LEERCAD         112   
59     nombreUsuario             id              606   
60     "Hola usuario:"           CAD_LIT         817   
61     fin                       FIN             103   
============================================================
Total de simbolos: 61
